7   17. Hafta             Freiburg  |   Fortuna Düsseldorf  |  2 - 1
8   17. Hafta            Wolfsburg  |            Paderborn  |  2 - 1
9   17. Hafta             Augsburg  |    Borussia Dortmund  |  2 - 1
10  17. Hafta         Union Berlin  |        Werder Bremen  |  1 - 0
11  17. Hafta        Hertha Berlin  |             Augsburg  |  3 - 1
12  17. Hafta  Eintracht Frankfurt  |     Bayer Leverkusen  |  0 - 1
13  17. Hafta                Mainz  |             Freiburg  |  2 - 2
14  17. Hafta                 Köln  |            Wolfsburg  |  2 - 0
15  17. Hafta   Fortuna Düsseldorf  |      Mönchengladbach  |  0 - 0
16  17. Hafta        Werder Bremen  |         Union Berlin  |  2 - 1
17  17. Hafta            Paderborn  |  Eintracht Frankfurt  |  2 - 1


    18. Hafta             Sıralama  |              Fixture ||  Sonuç
0   18. Hafta           RB Leipzig  |           Schalke 04  |  2 - 0
1   18. Hafta       Bayern München  |                 Köln  |  3 - 1
2   18. Hafta      Mönchengladbach  |             Mainz 05  |  1 - 2
3   18. Hafta    Borussia Dortmund  |           Hoffenheim  |  1 - 2
4   18. Hafta              Schalke  |   Fortuna Düsseldorf  |  0 - 1
5   18. Hafta     Bayer Leverkusen  |             Augsburg  |  3 - 5
6   18. Hafta             Freiburg  |           RB Leipzig  |  3 - 1
7   18. Hafta           Hoffenheim  |        Hertha Berlin  |  0 - 4
8   18. Hafta            Wolfsburg  |            Paderborn  |  1 - 4
9   18. Hafta             Augsburg  |      Mönchengladbach  |  2 - 0
10  18. Hafta  Eintracht Frankfurt  |            Wolfsburg  |  3 - 1
11  18. Hafta         Union Berlin  |             Freiburg  |  1 - 2
12  18. Hafta                 Köln  |  Eintracht Frankfurt  |  1 - 2
13  18. Hafta        Hertha Berlin  |        Werder Bremen  |  0 - 1
14  18. Hafta                Mainz  |    Borussia Dortmund  |  3 - 5
15  18. Hafta        Werder Bremen  |         Union Berlin  |  3 - 1
16  18. Hafta   Fortuna Düsseldorf  |       Bayern München  |  0 - 4
